Name,Year,Count
Ashley,1880,8
Ashley,1881,6
Ashley,1882,7
Ashley,1883,9
Ashley,1884,6
Ashley,1885,13
Ashley,1886,14
Ashley,1887,10
Ashley,1888,7
Ashley,1890,12
Ashley,1891,8
Ashley,1892,12
Ashley,1893,10
Ashley,1894,17
Ashley,1895,10
Ashley,1896,10
Ashley,1897,17
Ashley,1898,5
Ashley,1899,7
Ashley,1900,5
Ashley,1901,10
Ashley,1902,14
Ashley,1903,7
Ashley,1904,11
Ashley,1905,10
Ashley,1906,13
Ashley,1907,7
Ashley,1908,9
Ashley,1909,10
Ashley,1910,7
Ashley,1911,16
Ashley,1912,23
Ashley,1913,31
Ashley,1914,42
Ashley,1915,47
Ashley,1916,48
Ashley,1917,50
Ashley,1918,42
Ashley,1919,59
Ashley,1920,43
Ashley,1921,47
Ashley,1922,53
Ashley,1923,47
Ashley,1924,46
Ashley,1925,57
Ashley,1926,45
Ashley,1927,50
Ashley,1928,37
Ashley,1929,39
Ashley,1930,26
Ashley,1931,35
Ashley,1932,30
Ashley,1933,22
Ashley,1934,32
Ashley,1935,34
Ashley,1936,36
Ashley,1937,31
Ashley,1938,32
Ashley,1939,27
Ashley,1940,49
Ashley,1941,60
Ashley,1942,79
Ashley,1943,68
Ashley,1944,65
Ashley,1945,67
Ashley,1946,78
Ashley,1947,78
Ashley,1948,79
Ashley,1949,66
Ashley,1950,72
Ashley,1951,65
Ashley,1952,82
Ashley,1953,69
Ashley,1954,94
Ashley,1955,89
Ashley,1956,87
Ashley,1957,92
Ashley,1958,113
Ashley,1959,117
Ashley,1960,144
Ashley,1961,207
Ashley,1962,209
Ashley,1963,236
Ashley,1964,291
Ashley,1965,337
Ashley,1966,373
Ashley,1967,522
Ashley,1968,711
Ashley,1969,835
Ashley,1970,1180
Ashley,1971,1427
Ashley,1972,1449
Ashley,1973,1676
Ashley,1974,2034
Ashley,1975,2407
Ashley,1976,2763
Ashley,1977,3288
Ashley,1978,4015
Ashley,1979,5034
Ashley,1980,8042
Ashley,1981,9548
Ashley,1982,15503
Ashley,1983,33886
Ashley,1984,39315
