Year,UniqueNames,CommonNames100+,ShannonEntropy
1880,1889.0,279.0,8.19759488450601
1881,1829.0,267.0,8.225628643768854
1882,2012.0,299.0,8.296084248591661
1883,1962.0,288.0,8.327311659716026
1884,2158.0,316.0,8.408913756324605
1885,2139.0,321.0,8.452775763757955
1886,2225.0,331.0,8.482774901615759
1887,2215.0,330.0,8.510437172102847
1888,2454.0,381.0,8.575663938572117
1889,2390.0,379.0,8.588840832193227
1890,2475.0,388.0,8.630600411659064
1891,2454.0,377.0,8.649708077119259
1892,2686.0,423.0,8.693317286553288
1893,2622.0,416.0,8.690448926138139
1894,2705.0,429.0,8.735968072250202
1895,2799.0,435.0,8.765508425906061
1896,2839.0,451.0,8.78661782901502
1897,2763.0,437.0,8.786280002750733
1898,2987.0,477.0,8.825096047200748
1899,2777.0,449.0,8.816644712331279
1900,3393.0,530.0,8.914529694514052
1901,2901.0,455.0,8.866006354744735
1902,3065.0,485.0,8.891344102338257
1903,3096.0,478.0,8.903518371884015
1904,3251.0,507.0,8.935350210024122
1905,3331.0,521.0,8.95442758847695
1906,3307.0,512.0,8.939899604302836
1907,3592.0,548.0,8.987526349021532
1908,3640.0,562.0,8.98355016213705
1909,3837.0,577.0,9.020152398348376
1910,4174.0,628.0,9.055213612259648
1911,4394.0,657.0,9.045261555151862
1912,5725.0,860.0,9.124833933313019
1913,6264.0,936.0,9.135234777478182
1914,7161.0,1048.0,9.15579162291864
1915,8412.0,1229.0,9.179734740045305
1916,8692.0,1256.0,9.188506442359667
1917,8877.0,1278.0,9.183498623032563
1918,9303.0,1334.0,9.187770489185633
1919,9305.0,1301.0,9.207113650717138
1920,9634.0,1352.0,9.178583682209428
1921,9728.0,1375.0,9.16814469878122
1922,9658.0,1369.0,9.178128626320147
1923,9540.0,1365.0,9.157206870224725
1924,9733.0,1374.0,9.157197064891708
1925,9511.0,1370.0,9.149646675956761
1926,9335.0,1350.0,9.149480869833447
1927,9267.0,1347.0,9.14365280599107
1928,9054.0,1311.0,9.13428353464432
1929,8714.0,1301.0,9.112128623555098
1930,8712.0,1304.0,9.094134445754996
1931,8309.0,1247.0,9.069766210079251
1932,8341.0,1264.0,9.084765429286815
1933,8019.0,1231.0,9.08226519519933
1934,8190.0,1258.0,9.070029425774745
1935,8083.0,1239.0,9.032975207403336
1936,7904.0,1235.0,9.022774302628818
1937,7968.0,1253.0,9.027173451646224
1938,8055.0,1271.0,9.017480994741572
1939,7942.0,1249.0,8.99922144786158
1940,7987.0,1286.0,8.975651100787694
1941,8085.0,1294.0,8.936787605437457
1942,8383.0,1394.0,8.901815881066998
1943,8383.0,1415.0,8.884150087521435
1944,8163.0,1374.0,8.874018906401226
1945,8081.0,1353.0,8.875519154406806
1946,8683.0,1468.0,8.839008212740357
1947,9305.0,1573.0,8.826269521973908
1948,9188.0,1542.0,8.852735882572707
1949,9240.0,1560.0,8.860077545832556
1950,9281.0,1569.0,8.87322076014415
1951,9432.0,1611.0,8.867697498952285
1952,9578.0,1622.0,8.887264377607796
1953,9753.0,1656.0,8.91989582970519
1954,9881.0,1689.0,8.94025062856517
1955,10015.0,1725.0,8.977182305061469
1956,10221.0,1757.0,9.022989972421161
1957,10386.0,1793.0,9.075485463406206
1958,10393.0,1781.0,9.131502082037944
1959,10606.0,1827.0,9.178172151874229
1960,10751.0,1835.0,9.220364957620841
1961,11012.0,1864.0,9.244910579431783
1962,10990.0,1842.0,9.264387416011617
1963,11100.0,1844.0,9.27786765938778
1964,11216.0,1853.0,9.300971492905974
1965,10841.0,1787.0,9.298621915930672
1966,11036.0,1776.0,9.316542389930284
1967,11248.0,1761.0,9.346065418589992
1968,11751.0,1785.0,9.391465176345816
1969,12473.0,1877.0,9.458769262051922
1970,13413.0,1961.0,9.528772988574811
1971,13845.0,1960.0,9.605182254317537
1972,14015.0,1906.0,9.646244340528652
1973,14276.0,1910.0,9.703024278170664
1974,14745.0,1951.0,9.73109424281753
1975,15386.0,1984.0,9.795703553374643
1976,15856.0,1988.0,9.801987365175709
1977,16563.0,2069.0,9.828459832511353
1978,16627.0,2098.0,9.83295626882539
1979,17350.0,2140.0,9.850173817237673
1980,17729.0,2167.0,9.841421970955125
1981,17754.0,2165.0,9.82392894249309
1982,17923.0,2170.0,9.81656877653657
1983,17680.0,2127.0,9.768136070579946
1984,17759.0,2143.0,9.784499389320668
1985,18257.0,2227.0,9.831692962665874
1986,18802.0,2237.0,9.879816565354352
1987,19486.0,2305.0,9.923430030034476
1988,20437.0,2359.0,10.000314947362739
1989,21628.0,2489.0,10.100022663314858
1990,22682.0,2589.0,10.183069137259032
1991,23084.0,2634.0,10.264572524158728
1992,23362.0,2643.0,10.351150541465753
1993,23764.0,2680.0,10.41977568519166
1994,23849.0,2679.0,10.481621594914348
1995,23966.0,2673.0,10.529774684469594
1996,24308.0,2736.0,10.5954696909842
1997,24889.0,2783.0,10.66206597196301
1998,25728.0,2842.0,10.737038842400011
1999,26349.0,2893.0,10.800215937730947
2000,27519.0,3031.0,10.889351363749858
2001,27991.0,3082.0,10.963237506148392
2002,28288.0,3115.0,11.00832941127069
2003,28898.0,3199.0,11.065117768617458
2004,29515.0,3295.0,11.14835050700485
2005,30171.0,3382.0,11.206327125393859
2006,31647.0,3497.0,11.290815092990531
2007,32438.0,3594.0,11.357486824464168
2008,32541.0,3634.0,11.41965482418528
2009,32274.0,3633.0,11.460473940967116
2010,31659.0,3564.0,11.473547738789852
2011,31492.0,3530.0,11.480065524893718
2012,31321.0,3528.0,11.502471006424978
2013,30898.0,3529.0,11.490849693245785
2014,30806.0,3556.0,11.50174301014843
2015,30662.0,3580.0,11.518393976966
2016,30475.0,3594.0,11.546819438086164
2017,30101.0,3579.0,11.569680253834846
2018,29693.0,3590.0,11.595965189153983
2019,29512.0,3580.0,11.627746779527406
2020,28864.0,3515.0,11.661552177294745
2021,28991.0,3606.0,11.688786332508428
2022,29303.0,3658.0,11.73343333905881
2023,29054.0,3655.0,11.760972233101434
2024,29225.0,3633.0,11.751646469314574
