Year,Count,Name
1982,12,Arya
1983,7,Arya
1984,9,Arya
1985,20,Arya
1986,23,Arya
1987,22,Arya
1988,27,Arya
1989,30,Arya
1990,36,Arya
1991,34,Arya
1992,36,Arya
1993,26,Arya
1994,15,Arya
1995,30,Arya
1996,36,Arya
1997,44,Arya
1998,58,Arya
1999,47,Arya
2000,81,Arya
2001,84,Arya
2002,133,Arya
2003,157,Arya
2004,204,Arya
2005,195,Arya
2006,265,Arya
2007,305,Arya
2008,319,Arya
2009,350,Arya
2010,361,Arya
2011,498,Arya
2012,836,Arya
2013,1215,Arya
2014,1638,Arya
2015,1734,Arya
2016,1952,Arya
2017,2214,Arya
2018,2605,Arya
2019,3099,Arya
2020,2416,Arya
2021,2378,Arya
2022,2407,Arya
2023,2068,Arya
2024,1921,Arya
1989,5,Kobe
1995,9,Kobe
1996,87,Kobe
1997,363,Kobe
1998,1116,Kobe
1999,883,Kobe
2000,1457,Kobe
2001,1571,Kobe
2002,1408,Kobe
2003,1228,Kobe
2004,633,Kobe
2005,450,Kobe
2006,480,Kobe
2007,582,Kobe
2008,745,Kobe
2009,699,Kobe
2010,657,Kobe
2011,568,Kobe
2012,539,Kobe
2013,566,Kobe
2014,536,Kobe
2015,472,Kobe
2016,603,Kobe
2017,550,Kobe
2018,492,Kobe
2019,524,Kobe
2020,1572,Kobe
2021,1176,Kobe
2022,902,Kobe
2023,796,Kobe
2024,828,Kobe
1880,20,Elsa
1881,25,Elsa
1882,29,Elsa
1883,35,Elsa
1884,51,Elsa
1885,66,Elsa
1886,59,Elsa
1887,61,Elsa
1888,87,Elsa
1889,104,Elsa
1890,106,Elsa
1891,102,Elsa
1892,142,Elsa
1893,104,Elsa
1894,137,Elsa
1895,160,Elsa
1896,129,Elsa
1897,128,Elsa
1898,111,Elsa
1899,90,Elsa
1900,102,Elsa
1901,94,Elsa
1902,91,Elsa
1903,87,Elsa
1904,75,Elsa
1905,75,Elsa
1906,84,Elsa
1907,86,Elsa
1908,93,Elsa
1909,77,Elsa
1910,80,Elsa
1911,103,Elsa
1912,120,Elsa
1913,131,Elsa
1914,166,Elsa
1915,237,Elsa
1916,201,Elsa
1917,198,Elsa
1918,173,Elsa
1919,169,Elsa
1920,184,Elsa
1921,154,Elsa
1922,149,Elsa
1923,138,Elsa
1924,145,Elsa
1925,141,Elsa
1926,136,Elsa
1927,138,Elsa
1928,158,Elsa
1929,128,Elsa
1930,137,Elsa
1931,140,Elsa
1932,130,Elsa
1933,124,Elsa
1934,110,Elsa
1935,113,Elsa
1936,130,Elsa
1937,129,Elsa
1938,125,Elsa
1939,151,Elsa
1940,122,Elsa
1941,142,Elsa
1942,136,Elsa
1943,139,Elsa
1944,119,Elsa
1945,126,Elsa
1946,113,Elsa
1947,134,Elsa
1948,138,Elsa
1949,137,Elsa
1950,154,Elsa
1951,178,Elsa
1952,216,Elsa
1953,207,Elsa
1954,248,Elsa
1955,289,Elsa
1956,309,Elsa
1957,340,Elsa
1958,287,Elsa
1959,286,Elsa
1960,279,Elsa
1961,285,Elsa
1962,276,Elsa
1963,286,Elsa
1964,282,Elsa
1965,274,Elsa
1966,295,Elsa
1967,246,Elsa
1968,243,Elsa
1969,280,Elsa
1970,298,Elsa
1971,279,Elsa
1972,263,Elsa
1973,258,Elsa
1974,254,Elsa
1975,255,Elsa
1976,274,Elsa
1977,245,Elsa
1978,225,Elsa
1979,210,Elsa
1980,244,Elsa
1981,240,Elsa
1982,206,Elsa
1983,235,Elsa
1984,216,Elsa
1985,192,Elsa
1986,199,Elsa
1987,171,Elsa
1988,170,Elsa
1989,209,Elsa
1990,242,Elsa
1991,220,Elsa
1992,229,Elsa
1993,197,Elsa
1994,227,Elsa
1995,222,Elsa
1996,228,Elsa
1997,196,Elsa
1998,200,Elsa
1999,236,Elsa
2000,240,Elsa
2001,247,Elsa
2002,283,Elsa
2003,349,Elsa
2004,308,Elsa
2005,350,Elsa
2006,350,Elsa
2007,393,Elsa
2008,413,Elsa
2009,426,Elsa
2010,487,Elsa
2011,499,Elsa
2012,542,Elsa
2013,566,Elsa
2014,1140,Elsa
2015,658,Elsa
2016,477,Elsa
2017,425,Elsa
2018,305,Elsa
2019,350,Elsa
2020,284,Elsa
2021,275,Elsa
2022,264,Elsa
2023,246,Elsa
2024,280,Elsa
2011,28,Khaleesi
2012,147,Khaleesi
2013,243,Khaleesi
2014,369,Khaleesi
2015,342,Khaleesi
2016,377,Khaleesi
2017,470,Khaleesi
2018,564,Khaleesi
